series,tp,bn,cs,gs
INGLEDOVE,0,0,0,1
INGRAHAM,0,0,0,1
INKLER,0,0,1,0
IRELAND,0,0,1,1
INMACHUK,0,0,0,1
INTERIOR,0,0,1,0
IOWITHLA,0,0,0,1
IPSUT,0,0,0,1
IROCK,0,0,0,1
IRVINE,0,0,0,1
IRWIN,0,0,0,1
ISSUE,0,0,1,1
ISBELL,0,0,0,1
ISMAY,0,0,0,1
ITMANN,0,0,1,1
ITZEE,0,0,1,0
JOCKO,0,0,1,1
IVANELL,0,0,1,1
JOHNS,0,0,0,1
KINESAVA,0,0,0,1
JADE RUN,0,0,1,1
JANELEW,0,0,1,1
JARITA,0,0,0,1
JAYEM,0,0,0,1
JESBEL,1,0,1,1
JIM,0,0,0,1
JIMBO,0,0,1,1
JIMMERFIELD,0,0,1,0
JOEGALE,0,0,1,0
JOHNSON,0,0,1,0
JOHNSTON,0,0,0,1
JOICE,0,0,0,1
JONAH,0,0,1,0
JOSBURG,0,0,1,0
JUDCO,0,0,1,0
JUDELL,0,0,1,1
JUDITH,0,0,1,0
JUEL,0,0,1,0
JULIN,0,0,0,1
KAINA,0,0,1,0
KALAMBACH,0,0,0,1
KALLIS,0,0,1,0
KALMIA,0,0,0,1
KANAWHA,0,0,1,1
KANDIK,0,0,0,1
KARNAK,0,0,1,0
KASHWITNA,0,0,0,1
KATAKA,0,0,0,1
KATKITOS,0,0,1,0
KATPA,0,0,0,1
KAUTZ,0,0,1,1
KEBA,0,0,0,1
KAYMINE,0,0,1,1
KECHUMSTUK,0,0,0,1
KEENE,0,0,1,1
KEISER,0,0,0,1
KEITH,0,0,1,0
KELSTRUP,0,0,1,1
KEMUK,0,0,0,1
KENILWORTH,0,0,1,1
KENTUCK,0,0,0,1
KERL,0,0,1,0
KERRDAM,0,0,1,1
KIBIN,0,0,0,1
KIBLER,0,0,0,1
KIDNAPSPRING,0,0,1,1
KIEV,0,0,1,0
KILARC,0,0,0,1
KILFOIL,0,0,0,1
KILLEY,0,0,0,1
KIMPTON,0,0,1,0
KINDT,0,0,1,0
KINGSPOINT,0,0,0,1
KINGSTOWNE,0,0,1,1
KINKEAD,0,0,0,1
KINNEAR,0,0,1,0
KINNEY,0,0,1,1
KINSTON,0,0,0,1
LEIPSIC,0,0,1,1
KINZEL,0,0,0,1
KIOKLUK,0,0,0,1
KIRBY,0,0,0,1
KISMETPEAK,0,0,1,0
KISRING,0,0,0,1
KITTREDGE,0,0,1,0
KIWANIS,0,0,0,1
KLAYENT,0,0,1,0
KLEINSCHMIDT,0,0,0,1
KLEJ,0,0,1,1
KLICKSON,0,0,0,1
KLISKON,0,0,0,1
KLUTUK,0,0,0,1
KNEELAND,0,0,1,0
KNIK,0,0,0,1
KNULL,0,0,0,1
KOBASE,0,0,1,1
KOKWOK,0,0,0,1
KOYOKEE,0,0,0,1
KRESSON,0,0,1,1
KUPREANOF,0,0,0,1
KUSKOKWIM,0,0,0,1
LA POSTA,0,0,0,1
LABU,0,0,0,1
LENNI,0,0,1,1
LACEYCREEK,0,0,1,1
LACKSTOWN,0,0,1,1
LADNER,0,0,0,1
LADO,0,0,1,0
LAGALL,0,0,1,0
LAHOOD,0,0,1,1
LAKEHELEN,0,0,1,0
LAKEHURST,0,0,0,1
LAKEWOOD,0,0,0,1
LAMBETH,0,0,1,1
LAMBMAN,0,0,0,1
LAMULITA,0,0,1,0
LANCE,0,0,1,1
LANDLOW,0,0,0,1
LANDMAN,0,0,0,1
LANDUSKY,0,0,1,1
LANEY,0,0,0,1
LANIGER,0,0,0,1
LANKIN,0,0,0,1
LATHAM,0,0,1,1
LANTERN,0,0,0,1
LAYLAND,0,0,1,1
LAP,0,0,1,0
LAPLATTA,0,0,0,1
LARIM,0,0,1,1
LARKIN,0,0,1,1
LARWOOD,0,0,1,0
LAS FLORES,0,0,0,1
LAS LUCAS,0,0,0,1
LATAH,0,0,1,1
LATIWI,0,0,0,1
LAUGHINGWATER,0,0,0,1
LAUREL,0,0,0,1
LAVELDO,0,0,1,1
LAVINA,0,0,0,1
LAWARD,0,0,0,1
LAYTON,0,0,0,1
LEAVITTVILLE,0,0,1,0
